file,info.y,info.x,time,pop,n,fsc,chl,pe,vol
Ribalet.20140404.A.0009.fcs,93,S,09/30/13 11:45:00 AM,crypto2,151,27894,26011,32856,0.08
Ribalet.20140404.A.0009.fcs,93,S,09/30/13 11:45:00 AM,beads,476,50490,29420,48405,0.08
Ribalet.20140404.A.0010.fcs,101,B,10/02/13 12:30:00 PM,crypto2,238,27578,26894,34768,0.07
Ribalet.20140404.A.0010.fcs,101,B,10/02/13 12:30:00 PM,crypto1,465,24880,26804,36370,0.07
Ribalet.20140404.A.0010.fcs,101,B,10/02/13 12:30:00 PM,synecho,249,19615,18138,21349,0.07
Ribalet.20140404.A.0010.fcs,101,B,10/02/13 12:30:00 PM,beads,492,50540,29390,48361,0.07
Ribalet.20140826.A.0001.fcs,13,M,09/11/13 09:30:00 AM,crypto1,159,28306,25440,31596,0.05
Ribalet.20140826.A.0001.fcs,13,M,09/11/13 09:30:00 AM,crypto2,62,34825,28781,30015,0.05
Ribalet.20140826.A.0001.fcs,13,M,09/11/13 09:30:00 AM,synecho,581,19023,14121,14182,0.05
Ribalet.20140826.A.0001.fcs,13,M,09/11/13 09:30:00 AM,beads,1934,50370,30546,49509,0.05
Ribalet.20140826.A.0002.fcs,43,M,09/18/13 01:50:00 PM,crypto1,522,27596,25971,34157,0.1
Ribalet.20140826.A.0002.fcs,43,M,09/18/13 01:50:00 PM,crypto2,299,28155,22783,28347,0.1
Ribalet.20140826.A.0002.fcs,43,M,09/18/13 01:50:00 PM,synecho,181,18639,14840,17157,0.1
Ribalet.20140826.A.0002.fcs,43,M,09/18/13 01:50:00 PM,beads,566,50400,30489,49467,0.1
Ribalet.20140826.A.0003.fcs,45,S,09/18/13 01:50:00 PM,crypto2,232,27647,23532,30483,0.1
Ribalet.20140826.A.0003.fcs,45,S,09/18/13 01:50:00 PM,beads,604,50336,30422,49412,0.1
Ribalet.20140826.A.0003.fcs,45,S,09/18/13 01:50:00 PM,crypto1,460,27753,27553,36358,0.1
Ribalet.20140826.A.0003.fcs,45,S,09/18/13 01:50:00 PM,synecho,182,18646,16368,19005,0.1
Ribalet.20140826.A.0004.fcs,49,M,09/19/13 04:30:00 PM,synecho,507,18693,14000,15245,0.08
Ribalet.20140826.A.0004.fcs,49,M,09/19/13 04:30:00 PM,beads,523,50300,30457,49448,0.08
Ribalet.20140826.A.0004.fcs,49,M,09/19/13 04:30:00 PM,crypto2,338,29329,22836,28811,0.08
Ribalet.20140826.A.0004.fcs,49,M,09/19/13 04:30:00 PM,crypto1,242,27268,24446,33139,0.08
Ribalet.20140826.A.0005.fcs,53,B,09/20/13 03:05:00 PM,synecho,211,18522,13898,17087,0.08
Ribalet.20140826.A.0005.fcs,53,B,09/20/13 03:05:00 PM,crypto2,349,27698,25605,31824,0.08
Ribalet.20140826.A.0005.fcs,53,B,09/20/13 03:05:00 PM,beads,590,50420,30550,49514,0.08
Ribalet.20140826.A.0005.fcs,53,B,09/20/13 03:05:00 PM,crypto1,258,25033,25940,34515,0.08
Ribalet.20140826.A.0006.fcs,71,B,09/25/13 02:43:00 PM,synecho,823,19656,18175,19944,0.09
Ribalet.20140826.A.0006.fcs,71,B,09/25/13 02:43:00 PM,crypto1,348,25456,27879,36280,0.09
Ribalet.20140826.A.0006.fcs,71,B,09/25/13 02:43:00 PM,crypto2,351,25735,25944,32394,0.09
Ribalet.20140826.A.0006.fcs,71,B,09/25/13 02:43:00 PM,beads,525,50322,30552,49519,0.09
Ribalet.20140826.A.0007.fcs,105,S,10/02/13 12:30:00 PM,crypto1,183,25236,27966,37329,0.06
Ribalet.20140826.A.0007.fcs,105,S,10/02/13 12:30:00 PM,crypto2,93,28238,28444,35478,0.06
Ribalet.20140826.A.0007.fcs,105,S,10/02/13 12:30:00 PM,synecho,653,20171,19310,21849,0.06
Ribalet.20140826.A.0007.fcs,105,S,10/02/13 12:30:00 PM,beads,304,50394,30599,49536,0.06
