time[YYYY-MM-DD hh:mm:ss PST], turbidity
"2013/09/04 13:29:41", 3.760
"2013/09/04 13:29:43", 3.670
"2013/09/04 13:29:45", 3.680
"2013/09/04 13:29:47", 3.750
"2013/09/04 13:29:49", 3.740
"2013/09/04 13:29:51", 3.860
"2013/09/04 13:29:53", 3.730
"2013/09/04 13:29:55", 3.650
"2013/09/04 13:29:57", 3.610
"2013/09/04 13:29:59", 3.620
"2013/09/04 13:30:01", 3.630
"2013/09/04 13:32:33", 3.690
"2013/09/04 13:32:35", 3.620
"2013/09/04 13:32:37", 3.620
"2013/09/04 13:32:39", 3.650
"2013/09/04 13:32:41", 3.680
"2013/09/04 13:32:43", 3.650
"2013/09/04 13:32:45", 3.650
"2013/09/04 13:32:47", 3.700
"2013/09/04 13:32:49", 3.630
"2013/09/04 13:32:51", 3.620
"2013/09/04 13:32:53", 3.710
"2013/09/04 13:32:55", 3.720
"2013/09/04 13:32:57", 3.660
"2013/09/04 13:32:59", 3.620
"2013/09/04 13:33:01", 3.620
"2013/09/04 13:35:33", 3.620
"2013/09/04 13:35:35", 3.630
"2013/09/04 13:35:37", 3.670
"2013/09/04 13:35:39", 3.600
"2013/09/04 13:35:41", 3.620
"2013/09/04 13:35:43", 3.670
"2013/09/04 13:35:45", 3.670
"2013/09/04 13:35:47", 3.650
"2013/09/04 13:35:49", 3.690
"2013/09/04 13:35:51", 3.660
"2013/09/04 13:35:53", 3.650
"2013/09/04 13:35:55", 3.690
"2013/09/04 13:35:57", 3.690
"2013/09/04 13:35:59", 3.630
"2013/09/04 13:36:01", 3.660
"2013/09/04 13:38:31", 4.020
"2013/09/04 13:38:33", 3.910
"2013/09/04 13:38:35", 3.960
"2013/09/04 13:38:37", 3.790
"2013/09/04 13:38:39", 3.800
"2013/09/04 13:38:41", 3.780
"2013/09/04 13:38:43", 3.780
"2013/09/04 13:38:45", 3.740
"2013/09/04 13:38:47", 3.720
"2013/09/04 13:38:49", 3.910
"2013/09/04 13:38:51", 3.950
"2013/09/04 13:38:53", 3.790
"2013/09/04 13:38:55", 3.760
"2013/09/04 13:38:57", 3.900
"2013/09/04 13:38:59", 3.940
"2013/09/04 13:39:01", 3.750
"2013/09/04 13:39:03", 3.770
"2013/09/04 13:39:05", 3.740
"2013/09/04 13:39:07", 3.700
"2013/09/04 13:39:09", 3.740
"2013/09/04 13:39:11", 3.750
"2013/09/04 13:39:13", 3.720
"2013/09/04 13:39:15", 3.690
"2013/09/04 13:39:17", 3.740
"2013/09/04 13:39:19", 3.750
"2013/09/04 13:39:21", 3.690
"2013/09/04 13:39:23", 3.770
"2013/09/04 13:39:25", 4.020
"2013/09/04 13:39:27", 3.780
"2013/09/04 13:39:29", 3.770
"2013/09/04 13:39:31", 3.730
"2013/09/04 13:39:33", 3.680
"2013/09/04 13:39:35", 3.670
"2013/09/04 13:39:37", 3.700
"2013/09/04 13:39:39", 3.650
"2013/09/04 13:39:41", 3.660
"2013/09/04 13:39:43", 3.700
"2013/09/04 13:39:45", 3.810
"2013/09/04 13:39:47", 3.770
"2013/09/04 13:39:49", 3.740
"2013/09/04 13:39:51", 3.650
"2013/09/04 13:39:53", 3.640
"2013/09/04 13:39:55", 3.620
"2013/09/04 13:39:57", 3.700
"2013/09/04 13:39:59", 3.870
"2013/09/04 13:40:01", 3.920
"2013/09/04 13:40:03", 3.770
"2013/09/04 13:41:31", 3.720
"2013/09/04 13:41:33", 3.750
"2013/09/04 13:41:35", 3.760
"2013/09/04 13:41:37", 3.740
"2013/09/04 13:41:39", 3.870
"2013/09/04 13:41:41", 3.730
"2013/09/04 13:41:43", 3.670
"2013/09/04 13:41:45", 3.660
"2013/09/04 13:41:47", 3.650
"2013/09/04 13:41:49", 3.690
"2013/09/04 13:41:51", 3.700
"2013/09/04 13:41:53", 3.650
"2013/09/04 13:41:55", 3.670
"2013/09/04 13:41:57", 3.710
